Issue Type,Summary,Description,Priority,Story Points,Epic Link,Sprint,Labels,Assignee,Acceptance Criteria
Epic,Hardware & Foundation,Setup 2-host consumer hardware with networking,High,,,,"learn-jira,hardware,foundation",,Two hosts operational with network connectivity
Epic,Base Infrastructure,Deploy k3s cluster with HA configuration,High,,,,"learn-kubernetes,learn-terraform,infrastructure",,k3s cluster with 2 nodes operational
Epic,Platform Services,Deploy core platform services (DNS/LDAP/Vault),High,,,,"learn-ansible,platform,security",,All platform services accessible and integrated
Epic,AI Agent & LLM,Implement natural language AI agent with Ollama,High,,,,"learn-llm,learn-python,ai",,AI Agent responds to family requests in natural language
Epic,Family Services,Deploy family-facing services (media/backup/storage),High,,,,"family-services,usability",,Family members using services daily
Epic,Security & Monitoring,Implement zero-trust security and monitoring,High,,,,"learn-security,monitoring,best-practice",,Security hardening complete with monitoring
Epic,Documentation & Training,Create documentation and train family members,Medium,,,,"documentation,training",,Family can self-service basic tasks
Epic,ML & Anti-Pattern Detection,Implement ML for anti-pattern detection,Medium,,,,"learn-ml,advanced,anti-pattern",,Automatic detection of configuration anti-patterns

Story,Plan Jira Project Structure,Define epics stories tasks and workflow for complete project,High,3,Hardware & Foundation,Sprint 0,"learn-jira,planning",,"Jira project created with all epics|Workflow defined|Story point scale agreed|Learning labels configured"
Story,Procure Consumer Hardware,Select and purchase 2x consumer-grade mini PCs for cluster,High,2,Hardware & Foundation,Sprint 0,"hardware,procurement",,"2x mini PCs purchased (8GB+ RAM 4+ cores)|Network switch/cables acquired|Power management available|Budget <$1000 total"
Story,Setup Network Infrastructure,Configure home network with VLANs for cluster,High,5,Hardware & Foundation,Sprint 1,"learn-networking,foundation",,"VLAN for cluster traffic created|Static IPs assigned (192.168.100.10-11)|DNS forwarding configured|Internet connectivity verified"
Story,Install Base OS on Hosts,Install CentOS Stream 9 on both hosts with cloud-init,Medium,3,Hardware & Foundation,Sprint 1,"learn-ansible,learn-terraform",,"CentOS Stream 9 installed on both hosts|Cloud-init configured|SSH access working|Hosts accessible at 192.168.100.10 and .11"
Story,Configure Storage Layout,Setup local storage and prepare for distributed storage,Medium,5,Hardware & Foundation,Sprint 1,"storage,learn-kubernetes",,"LVM configured for flexibility|Partitions for OS boot and data created|Storage ready for k3s PVs|Backup strategy documented"

Story,Deploy k3s Cluster Foundation,Install k3s on both hosts in HA configuration,High,8,Base Infrastructure,Sprint 1,"learn-kubernetes,critical",,"k3s installed on both nodes|HA with embedded etcd|kubectl access working|Nodes show Ready status"
Story,Configure Cluster Networking,Setup cluster networking with MetalLB for LoadBalancer,Medium,5,Base Infrastructure,Sprint 1,"learn-networking,learn-kubernetes",,"MetalLB deployed|IP pool configured (192.168.100.50-60)|LoadBalancer services get IPs|External access working"
Story,Deploy Local Storage Provisioner,Setup local-path-provisioner for persistent volumes,Medium,3,Base Infrastructure,Sprint 1,"learn-kubernetes,storage",,"local-path-provisioner deployed|StorageClass created and set as default|Test PVC provisions successfully|PVs created on both nodes"
Story,Setup Cluster Ingress,Deploy Traefik ingress controller with TLS,Medium,5,Base Infrastructure,Sprint 2,"learn-kubernetes,networking",,"Traefik deployed as ingress controller|TLS certificate management configured|Test ingress route accessible|*.homelab.local domain working"
Story,Implement GitOps with Argo CD,Deploy Argo CD for GitOps workflow,Medium,8,Base Infrastructure,Sprint 2,"learn-gitops,learn-kubernetes,best-practice",,"Argo CD deployed|App-of-apps pattern configured|Git repo connected|Auto-sync working for test app"

Story,Deploy DNS Server,Setup Pi-hole or CoreDNS for internal DNS,High,5,Platform Services,Sprint 2,"learn-networking,family-services",,"DNS server deployed|homelab.local domain resolving|Ad-blocking active (bonus)|Family devices using DNS"
Story,Deploy FreeIPA for Identity,Setup FreeIPA for authentication and authorization,High,8,Platform Services,Sprint 2,"learn-security,learn-ansible",,"FreeIPA installed and initialized|Users created for family members|SSO working for test service|CA certificates distributed"
