Issue Type,Summary,Description,Priority,Story Points,Epic Link,Sprint,Labels,Assignee,Acceptance Criteria
Epic,Ansible Build & Deployment,Deploy full AIOps substrate using Ansible automation via Docker,High,55,,"learn-ansible,learn-docker,deployment",,All infrastructure deployed and operational via Ansible

Story,Build VM Template with Packer,Create CentOS 9 VM template with cloud-init and k3s prerequisites,High,8,Ansible Build & Deployment,Sprint 2,"learn-packer,learn-terraform,infrastructure",,"Proxmox API credentials configured|Packer template validated|CentOS 9 template created in Proxmox|Cloud-init working|Containerd and k3s prerequisites installed"
Story,Provision Infrastructure with Terraform,Deploy VMs load balancers and network using Terraform,High,8,Ansible Build & Deployment,Sprint 2,"learn-terraform,infrastructure",,"Terraform variables configured|Infrastructure plan reviewed|2x HAProxy LBs created|3x control plane VMs created|3x worker VMs created|1x bastion host created|Network and firewall rules applied"
Story,Deploy k3s Cluster with Ansible,Install and configure k3s cluster using Ansible playbooks,High,13,Ansible Build & Deployment,Sprint 3,"learn-ansible,learn-kubernetes,critical",,"Ansible inventory generated|All hosts respond to ping|Pre-flight checks passed|HAProxy deployed with Keepalived VIP|k3s control plane deployed (3 nodes)|k3s workers joined (3 nodes)|Kubeconfig fetched|All nodes showing Ready status"
Story,Deploy Platform Applications,Deploy Vault Ollama MinIO and AI Ops Agent using Ansible,High,13,Ansible Build & Deployment,Sprint 3,"learn-ansible,learn-kubernetes,platform",,"Storage provisioner deployed|Vault deployed and initialized|Ollama deployed with llama3.1:8b model|MinIO S3 storage deployed|AI Ops Agent deployed|Autoscaler CronJob deployed|All pods in Running status"
Story,Deploy Autoscaler Service,Build and deploy VM autoscaling service,Medium,5,Ansible Build & Deployment,Sprint 3,"learn-docker,automation,autoscaler",,"Autoscaler Docker image built|Image pushed to registry|Autoscaler deployed to k3s|Manual scale-up test successful|Manual scale-down test successful"
Story,Post-Deployment Configuration,Configure DNS firewall and optional monitoring,Medium,8,Ansible Build & Deployment,Sprint 4,"infrastructure,monitoring,best-practice",,"DNS records configured for services|NodePort firewall rules applied|Monitoring deployed (optional)|Backups configured (optional)|Access documentation updated"

Task,Configure Proxmox API Credentials,Export PM_API_URL PM_API_TOKEN_ID and PM_API_TOKEN_SECRET,High,1,Ansible Build & Deployment,Sprint 2,"learn-terraform,setup",,"Environment variables exported for Packer/Terraform"
Task,Validate Packer Template,Run make packer-validate to verify template syntax,High,1,Ansible Build & Deployment,Sprint 2,"learn-packer,validation",,"Packer template validation successful"
Task,Build CentOS 9 Template,Execute make packer-build to create VM template,High,5,Ansible Build & Deployment,Sprint 2,"learn-packer,infrastructure",,"centos9-cloud template created in Proxmox|Template includes cloud-init|Containerd installed|Time: 20-30 minutes"
Task,Configure Terraform Variables,Copy and edit terraform.tfvars with credentials and network config,High,2,Ansible Build & Deployment,Sprint 2,"learn-terraform,setup",,"terraform.tfvars configured with API tokens|SSH public keys added|VPC CIDR configured|Node counts set"
Task,Initialize Terraform,Run make init-prod to initialize Terraform state,High,1,Ansible Build & Deployment,Sprint 2,"learn-terraform",,"Terraform initialized with Proxmox backend"
Task,Plan Infrastructure,Run make plan-prod and review planned resources,High,1,Ansible Build & Deployment,Sprint 2,"learn-terraform,planning",,"Infrastructure plan reviewed|Expected 16 total VMs|Network and firewall rules verified"
Task,Apply Infrastructure,Execute make apply-prod to create VMs,High,3,Ansible Build & Deployment,Sprint 2,"learn-terraform,infrastructure",,"All VMs created successfully|VMs accessible via SSH|Time: 10-15 minutes"
Task,Verify VM Creation,Run make vm-list to confirm all VMs exist,Medium,1,Ansible Build & Deployment,Sprint 2,"validation",,"All expected VMs visible in Proxmox"
